word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22,mat_23,mat_24,mat_25,mat_26,mat_27,mat_28,mat_29,mat_30
אדמיניסטרטוריות,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.444444444444444,0,0.555555555555556,0,0.222222222222222,0,0.545454545454545,0.5,0.555555555555556,0,0.8,1
אדמיניסטרטיביות,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.444444444444444,0,0.545454545454545,0.5,0.3,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1
אדמיניסטרטיביים,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.444444444444444,0,0.545454545454545,0.5,0.3,1,0.545454545454545,0.5,0.545454545454545,0.5,0.777777777777778,0
אדמיניסטרציותיה,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.7,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.4,1
אדמיניסטרציותיו,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.7,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.555555555555556,0
אדמיניסטרציותיי,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.7,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.545454545454545,0.5
אדמיניסטרציותיך,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.7,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.818181818181818,0.5
אדמיניסטרצייתכם,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.363636363636364,0.5,0.777777777777778,0
אדמיניסטרצייתכן,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.363636363636364,0.5,0.666666666666667,0
אדמיניסטרצייתנו,0.333333333333333,0,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.5,1,0.545454545454545,0.5,0.2,1,0.444444444444444,0,0.222222222222222,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.5,1,0.555555555555556,0
אוטואמנציפצייתה,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.333333333333333,0,0.6,1,0.5,1,0.7,1,0.545454545454545,0.5,0.888888888888889,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.4,1
אוטואמנציפצייתו,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.333333333333333,0,0.6,1,0.5,1,0.7,1,0.545454545454545,0.5,0.888888888888889,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.555555555555556,0
אוטואמנציפצייתי,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.333333333333333,0,0.6,1,0.5,1,0.7,1,0.545454545454545,0.5,0.888888888888889,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.545454545454545,0.5
אוטואמנציפצייתך,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.333333333333333,0,0.6,1,0.5,1,0.7,1,0.545454545454545,0.5,0.888888888888889,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.818181818181818,0.5
אוטואמנציפצייתם,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.333333333333333,0,0.6,1,0.5,1,0.7,1,0.545454545454545,0.5,0.888888888888889,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.777777777777778,0
אוטואמנציפצייתן,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.333333333333333,0,0.6,1,0.5,1,0.7,1,0.545454545454545,0.5,0.888888888888889,0,0.7,1,0.545454545454545,0.5,0.545454545454545,0.5,0.8,1,0.666666666666667,0
אוטוביוגרפיותיה,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.3,1,0.545454545454545,0.5,0.555555555555556,0,0.272727272727273,0.5,0.222222222222222,0,0.888888888888889,0,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.4,1
אוטוביוגרפיותיו,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.3,1,0.545454545454545,0.5,0.555555555555556,0,0.272727272727273,0.5,0.222222222222222,0,0.888888888888889,0,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.555555555555556,0
אוטוביוגרפיותיי,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.3,1,0.545454545454545,0.5,0.555555555555556,0,0.272727272727273,0.5,0.222222222222222,0,0.888888888888889,0,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.545454545454545,0.5
