word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22,mat_23,mat_24,mat_25,mat_26,mat_27,mat_28,mat_29,mat_30,mat_31,mat_32,mat_33,mat_34
sacramentarianism,0.2,0.5,0.1,0.5,0.375,1,0.363636363636364,0,0.1,0.5,0.875,1,0.272727272727273,0,0.75,1,0.454545454545455,0,0.1,0.5,0.363636363636364,0,0.727272727272727,0,0.1,0.5,0.75,1,0.727272727272727,0,0.2,0.5,0.875,1
salinosulphureous,0.2,0.5,0.1,0.5,0.9,0.5,0.727272727272727,0,0.75,1,0.818181818181818,0,0.2,0.5,0.636363636363636,0,0.9,0.5,0.909090909090909,0,0.6,0.5,0.636363636363636,0,0.363636363636364,0,0.272727272727273,0,0.818181818181818,0,0.636363636363636,0,0.2,0.5
salpingopterygoid,0.2,0.5,0.1,0.5,0.9,0.5,0.909090909090909,0,0.727272727272727,0,0.75,1,0.5,0.5,0.818181818181818,0,0.909090909090909,0,0.454545454545455,0,0.272727272727273,0,0.363636363636364,0,0.545454545454545,0,0.5,0.5,0.818181818181818,0,0.727272727272727,0,0.3,0.5
salpingostomatomy,0.2,0.5,0.1,0.5,0.9,0.5,0.909090909090909,0,0.727272727272727,0,0.75,1,0.5,0.5,0.818181818181818,0,0.2,0.5,0.454545454545455,0,0.818181818181818,0,0.875,1,0.1,0.5,0.454545454545455,0,0.818181818181818,0,0.875,1,0.545454545454545,0
sanctimoniousness,0.2,0.5,0.1,0.5,0.75,1,0.375,1,0.454545454545455,0,0.727272727272727,0,0.875,1,0.818181818181818,0,0.75,1,0.727272727272727,0,0.818181818181818,0,0.636363636363636,0,0.2,0.5,0.75,1,0.272727272727273,0,0.2,0.5,0.2,0.5
sanguineovascular,0.2,0.5,0.1,0.5,0.75,1,0.5,0.5,0.636363636363636,0,0.727272727272727,0,0.75,1,0.272727272727273,0,0.818181818181818,0,0.5,1,0.1,0.5,0.2,0.5,0.375,1,0.636363636363636,0,0.9,0.5,0.1,0.5,0.363636363636364,0
sarcoenchondromas,0.2,0.5,0.1,0.5,0.363636363636364,0,0.375,1,0.818181818181818,0,0.272727272727273,0,0.75,1,0.375,1,0.6,0.5,0.818181818181818,0,0.75,1,0.3,0.5,0.363636363636364,0,0.818181818181818,0,0.875,1,0.1,0.5,0.2,0.5
sarcotherapeutics,0.2,0.5,0.1,0.5,0.363636363636364,0,0.375,1,0.818181818181818,0,0.454545454545455,0,0.6,0.5,0.272727272727273,0,0.363636363636364,0,0.1,0.5,0.909090909090909,0,0.272727272727273,0,0.636363636363636,0,0.454545454545455,0,0.727272727272727,0,0.375,1,0.2,0.5
scapuloclavicular,0.2,0.5,0.375,1,0.1,0.5,0.909090909090909,0,0.636363636363636,0,0.9,0.5,0.818181818181818,0,0.375,1,0.9,0.5,0.1,0.5,0.5,1,0.727272727272727,0,0.375,1,0.636363636363636,0,0.9,0.5,0.1,0.5,0.363636363636364,0
scheuchzeriaceous,0.2,0.5,0.375,1,0.6,0.5,0.272727272727273,0,0.636363636363636,0,0.375,1,0.6,0.5,0.125,1,0.272727272727273,0,0.363636363636364,0,0.727272727272727,0,0.1,0.5,0.375,1,0.272727272727273,0,0.818181818181818,0,0.636363636363636,0,0.2,0.5
